FIRE,MIN_NEAR_D,vegID,geomor1,aspect,slope,dem,Bio1,Bio2,Bio3,Bio4,Bio5,Bio6,Bio7,Bio8,Bio9,Bio10,Bio11,Bio12,Bio13,Bio14,Bio15,Bio16,Bio17,Bio18,Bio19,tadem,pa,im,aridity
No,1979.542 ,10,31,67.416 ,89.985 ,505,-1.4417,14.7833,26.446,1549.4323,24.8,-31.1,55.9,16.7333,-21.25,16.7333,-21.25,503,143,3,112.6075,341,11,341,11,-14,5296,819,792
No,10033.797 ,34,31,0.000 ,89.995 ,533,-1.9417,14.6667,26.862,1509.226,23.8,-30.8,54.6,15.85,-21.0833,15.85,-21.0833,531,152,3,112.0974,359,11,359,11,-14,5298,819,792
No,3796.882 ,6,32,291.405 ,89.986 ,866,-5.2958,15.375,26.3722,1643.8403,22.8,-35.5,58.3,14.2,-26.0333,14.2,-26.0333,500,130,3,105.2404,329,13,329,13,-62,4616,468,793
No,11289.736 ,3,31,339.523 ,89.995 ,478,-1.5375,14.875,26.7536,1538.3508,24.5,-31.1,55.6,16.4833,-21.1833,16.4833,-21.1833,513,145,3,111.3178,345,12,345,12,-14,5296,817,793
No,2039.456 ,6,42,182.993 ,89.994 ,723,-1.8542,14.875,26.5152,1555.3931,24.4,-31.7,56.1,16.4,-21.7167,16.4,-21.7167,520,145,4,109.3349,345,13,345,13,-14,5290,815,793
No,2502.774 ,34,27,6.163 ,89.991 ,428,-1.4,15.1333,26.7373,1563.2266,24.9,-31.7,56.6,16.8167,-21.5167,16.8167,-21.5167,507,144,3,111.333,340,12,340,12,-14,5294,813,794
No,3992.506 ,21,31,158.199 ,89.988 ,523,-1.7708,14.6583,26.2224,1554.3992,24.6,-31.3,55.9,16.5,-21.5333,16.5,-21.5333,517,141,4,107.0758,339,14,339,14,-28,4930,639,794
No,996.532 ,10,24,341.200 ,89.981 ,440,-1.75,14.8667,26.1737,1575.673,24.8,-32,56.8,16.6667,-21.95,16.6667,-21.95,510,142,3,109.9676,340,12,340,12,-15,5281,813,794
No,7782.167 ,32,31,26.098 ,89.995 ,644,-2.7,14.4667,25.8333,1569.6771,23.9,-32.1,56,15.7833,-22.6167,15.7833,-22.6167,537,142,4,105.2863,348,14,348,14,-23,5125,804,795
No,2413.948 ,6,31,317.694 ,89.992 ,786,-4.5417,14.8,25.7391,1645.9756,23.5,-34,57.5,15.0167,-25.1667,15.0167,-25.1667,520,130,5,99.6311,329,18,329,18,-60,4822,561,796
No,2639.214 ,10,24,258.495 ,89.984 ,460,-1.8417,14.5833,25.8112,1581.2478,24.7,-31.8,56.5,16.6167,-22.1167,16.6167,-22.1167,513,139,4,107.2366,336,14,336,14,-17,5248,800,796
No,343.310 ,10,31,338.131 ,89.988 ,504,-3.1583,14,25.0896,1605.2001,24.3,-31.5,55.8,16,-23.15,16,-23.15,509,129,5,100.4999,322,16,322,16,-14,5288,802,797
No,2193.353 ,6,31,147.961 ,89.990 ,645,-5.1625,15.1417,26.1514,1640.4131,22.9,-35,57.9,14.3667,-25.7667,14.3667,-25.7667,509,130,4,102.9041,330,15,330,15,-63,4655,477,798
No,8869.293 ,34,29,323.986 ,89.994 ,475,-1.5833,14.3667,25.1166,1618.0591,25.1,-32.1,57.2,17.1833,-22.45,17.1833,-22.45,515,141,3,107.9897,338,13,338,13,-24,5115,796,798
No,318.821 ,2,31,46.637 ,89.991 ,576,-2.5833,13.5667,24.4005,1599.8798,24.3,-31.3,55.6,16.3667,-22.7167,16.3667,-22.7167,523,133,5,100.3527,329,17,329,17,-32,4951,654,798
No,9013.113 ,6,42,272.361 ,89.990 ,1080,-5.8,14.7667,25.9977,1601.1686,21.9,-34.9,56.8,13.4167,-25.8,13.4167,-25.8,513,134,3,105.2879,338,13,338,13,-63,4592,439,799
No,869.164 ,5,18,43.493 ,89.983 ,646,-4.6208,15.6583,26.2284,1693.1942,24,-35.7,59.7,15.3,-26.15,15.3,-26.15,488,125,4,103.1636,316,15,316,15,-64,4665,480,799
No,3654.297 ,6,31,240.945 ,89.985 ,730,-4.9875,15.1917,26.6054,1574.4597,22.3,-34.8,57.1,13.6333,-24.9167,13.6333,-24.9167,554,150,3,108.2946,370,12,370,12,-61,4812,548,799
No,4286.038 ,3,42,141.340 ,89.992 ,659,-2.2292,14.5083,25.6331,1586.7627,24.5,-32.1,56.6,16.4,-22.4667,16.4,-22.4667,521,138,4,104.7172,336,14,336,14,-24,5107,789,799
No,5262.247 ,21,41,348.517 ,89.997 ,650,-3.2542,14.2917,24.3885,1711.2773,25.3,-33.3,58.6,16.8333,-24.8833,16.8333,-24.8833,472,115,5,97.6422,295,18,295,18,-15,5283,794,800
No,2574.274 ,6,31,312.754 ,89.974 ,621,-2.3708,13.925,25.1354,1565.7491,24.3,-31.1,55.4,16.15,-22.15,16.15,-22.15,520,134,4,101.626,329,14,329,14,-25,5084,778,800
No,220.120 ,6,29,20.063 ,89.992 ,591,-2.3958,14.2417,25.5685,1566.9926,24.2,-31.5,55.7,16.0833,-22.2667,16.0833,-22.2667,530,138,5,103.0535,340,17,340,17,-33,5003,699,801
No,1436.622 ,6,41,40.914 ,89.969 ,446,-3.4042,14.7583,25.4454,1679.1725,24.8,-33.2,58,16.3667,-24.6,16.3667,-24.6,478,119,4,100.654,304,16,304,16,-58,4907,615,802
No,3831.962 ,21,41,320.572 ,89.995 ,486,-3.325,14.15,25.4955,1556.2681,23.3,-32.2,55.5,15.1,-22.9833,15.1,-22.9833,545,143,4,103.4456,350,15,350,15,-15,5276,783,802
No,1602.222 ,10,19,205.346 ,89.971 ,421,-1.7042,14.6083,25.9473,1569.7908,24.7,-31.6,56.3,16.6667,-21.7667,16.6667,-21.7667,518,141,4,106.9016,338,14,338,14,-16,5249,780,802
No,407.687 ,3,42,62.858 ,89.995 ,670,-4.9,16,26.534,1702.3086,23.9,-36.4,60.3,15.0667,-26.6333,15.0667,-26.6333,476,123,4,104.886,313,14,313,14,-64,4595,426,803
No,151.053 ,6,13,219.382 ,89.979 ,532,-3.4708,14.5917,25.2451,1655.9363,24.5,-33.3,57.8,16.05,-24.4333,16.05,-24.4333,506,128,5,100.1382,320,18,320,18,-34,4908,602,803
No,1049.985 ,7,32,3.030 ,89.997 ,759,-5.0125,15.6417,26.3328,1676.6771,23.5,-35.9,59.4,14.75,-26.3,14.75,-26.3,484,126,3,104.8263,318,13,318,13,-64,4595,423,805
No,993.753 ,6,31,6.973 ,89.987 ,477,-4.4833,16.1333,26.1057,1767.8433,25.2,-36.6,61.8,16.15,-27.0833,16.15,-27.0833,456,115,5,101.4508,293,17,293,17,-65,4640,446,806
No,2833.894 ,2,42,166.092 ,89.996 ,692,-3.2375,14.7083,25.2287,1690.616,25.1,-33.2,58.3,16.6333,-24.6,16.6333,-24.6,476,117,5,97.8245,298,19,298,19,-47,4897,598,806
No,3532.058 ,6,31,7.125 ,89.995 ,646,-2.575,13.7833,25.1063,1552.9027,23.9,-31,54.9,15.8333,-22.15,15.8333,-22.15,528,137,4,102.3012,336,14,336,14,-26,5015,700,806
No,3201.489 ,6,42,3.045 ,89.995 ,931,-3.4542,14.5417,25.0287,1685.5919,24.9,-33.2,58.1,16.4167,-24.6833,16.4167,-24.6833,468,116,4,100.8881,299,15,299,15,-48,4540,174,807
No,1239.470 ,6,21,192.995 ,89.965 ,310,-2.0667,13.6667,23.4822,1689.4369,25.6,-32.6,58.2,17.65,-23.65,17.65,-23.65,503,125,5,95.104,303,20,303,20,-16,4879,394,807
No,5908.994 ,6,42,173.121 ,89.995 ,829,-5.2958,15.1083,26.0489,1642.1306,22.8,-35.2,58,14.25,-25.95,14.25,-25.95,506,130,3,103.4594,329,13,329,13,-65,4597,415,808
No,508.509 ,6,11,201.615 ,89.968 ,487,-1.9458,14.3917,25.6536,1575.4689,24.6,-31.5,56.1,16.55,-22,16.55,-22,519,138,4,104.4855,334,16,334,16,-23,5127,765,808
No,1265.645 ,19,31,251.375 ,89.990 ,325,-1.3667,13.8,24.1259,1635.7126,25.4,-31.8,57.2,17.5667,-22.5,17.5667,-22.5,518,129,4,101.6639,328,15,328,15,-12,5062,203,808
No,6221.571 ,2,11,18.435 ,89.805 ,277,-3.2833,14.75,24.5833,1747.3763,25.7,-34.3,60,17.0833,-20.7667,17.0833,-25.55,454,110,5,97.3528,283,19,283,19,-48,4887,584,809
No,7645.771 ,6,42,24.392 ,89.997 ,842,-4.0333,13.75,24.8644,1592.1674,23.3,-32,55.3,15.1,-23.75,15.1,-23.75,521,134,4,103.6779,337,14,337,14,-50,4887,573,810
No,1842.025 ,12,31,182.889 ,89.997 ,506,-2.6125,13.8917,24.7623,1613.2296,24.6,-31.5,56.1,16.4667,-22.9,16.4667,-22.9,511,130,5,100.1873,322,17,322,17,-29,4876,539,811
No,4991.405 ,6,42,172.497 ,89.996 ,1012,-3.7625,14.1583,25.059,1635.3066,24,-32.5,56.5,15.7167,-24.1667,15.7167,-24.1667,498,125,5,99.9855,315,16,315,16,-33,4881,569,812
No,453.835 ,5,26,139.574 ,89.948 ,562,-1.8375,14.525,26.0305,1557.3011,24.5,-31.3,55.8,16.45,-21.6333,16.45,-21.6333,506,137,3,107.5609,332,13,332,13,-34,4887,562,812
No,1792.495 ,2,42,239.534 ,89.991 ,852,-2.75,14.7667,25.952,1591.0131,24.3,-32.6,56.9,15.9667,-22.9667,15.9667,-22.9667,519,135,4,102.9005,333,16,333,16,-48,4883,551,812
No,6586.596 ,12,42,8.885 ,89.998 ,665,-3.1292,13.4917,24.3093,1603.6471,24,-31.5,55.5,15.9667,-23.1667,15.9667,-23.1667,518,132,4,101.4299,329,14,329,14,-29,4872,531,812
No,360.145 ,6,31,124.919 ,89.986 ,601,-2.2,14.4333,25.8199,1564.8003,24.2,-31.7,55.9,16.1833,-22.1,16.1833,-22.1,525,141,4,105.8873,341,14,341,14,-21,5141,737,812
No,4572.536 ,2,42,136.749 ,89.990 ,752,-3.1583,14.6,25.4799,1651.6078,24.8,-32.5,57.3,16.3333,-23.95,16.3333,-23.95,495,123,5,98.5807,310,19,310,19,-51,4880,544,813
No,3957.482 ,12,41,256.535 ,89.998 ,489,-2.8917,13.75,24.4227,1624.6494,24.5,-31.8,56.3,16.35,-23.3333,16.35,-23.3333,514,130,5,99.8217,323,17,323,17,-29,4871,529,813
No,6835.531 ,6,42,198.970 ,89.986 ,815,-2.0542,14.4417,25.8348,1566.7025,24.2,-31.7,55.9,16.2667,-22.0833,16.2667,-22.0833,528,146,3,108.8167,349,12,349,12,-29,4869,525,813
No,1913.856 ,10,31,86.820 ,89.991 ,451,-1.1958,14.625,25.9769,1576.6211,25.2,-31.1,56.3,17.2167,-21.4,17.2167,-21.4,514,144,4,109.0937,340,14,340,14,-29,4869,525,813
No,5801.660 ,6,31,73.072 ,89.962 ,597,-2.3875,13.6917,24.7142,1581.803,24.3,-31.1,55.4,16.3,-22.3667,16.3,-22.3667,521,133,4,100.8527,328,15,328,15,-27,4968,635,813
No,3444.901 ,6,42,234.744 ,89.987 ,686,-4.8667,15.7,26.3866,1686.9355,23.7,-35.8,59.5,15.0167,-26.2667,15.0167,-26.2667,487,124,4,103.4168,316,15,316,15,-66,4616,410,814
No,1569.752 ,10,11,194.036 ,89.776 ,455,-1.6708,14.3083,25.6422,1570.9095,24.6,-31.2,55.8,16.7167,-21.7,16.7167,-21.7,515,139,4,106.4687,335,14,335,14,-20,5169,731,814
No,2660.800 ,5,31,33.690 ,89.974 ,321,-1.9042,13.775,23.75,1679.845,25.7,-32.3,58,17.7167,-19.05,17.7167,-23.35,502,125,5,96.1348,304,19,304,19,-14,4879,380,814
No,3511.796 ,7,25,24.156 ,89.994 ,292,-0.9375,13.7417,23.8157,1652.1985,25.9,-31.8,57.7,18.1167,-18.1333,18.1167,-22.3833,511,125,4,99.9721,321,17,321,17,-9,5011,152,814
No,744.161 ,5,30,133.652 ,89.985 ,712,-4.3208,15.0917,25.7537,1677.5272,24,-34.6,58.6,15.4667,-25.55,15.4667,-25.55,496,125,4,101.8981,318,15,318,15,-63,4739,460,815
No,3288.341 ,21,31,196.809 ,89.991 ,436,-1.2792,14.6417,25.9604,1577.4569,25.1,-31.3,56.4,17.1333,-21.5167,17.1333,-21.5167,518,144,4,108.3865,341,14,341,14,-15,5280,747,815
No,3794.607 ,7,27,22.810 ,89.984 ,383,-1.2375,13.7583,23.7622,1657.6985,25.7,-32.2,57.9,17.9,-22.7833,17.9,-22.7833,511,127,4,101.7703,324,15,324,15,-9,5001,145,815
No,4811.997 ,7,20,143.746 ,89.967 ,257,-0.9917,13.7167,23.7313,1656.4143,25.9,-31.9,57.8,18.1167,-22.5,18.1167,-22.5,510,126,4,100.9093,322,15,322,15,-9,5005,146,815
No,2771.053 ,6,42,352.796 ,89.997 ,714,-4.0417,13.9,24.8658,1611.2584,23.5,-32.4,55.9,15.25,-24.05,15.25,-24.05,520,132,5,100.6381,330,17,330,17,-38,4875,542,816
No,7809.163 ,6,42,230.906 ,89.955 ,480,-3.7667,13.6333,24.5204,1605.2518,23.7,-31.9,55.6,15.4667,-23.7167,15.4667,-23.7167,518,131,5,100.8354,329,17,329,17,-43,4876,541,816
No,986.973 ,22,27,339.538 ,89.996 ,574,-3.125,13.8833,24.97,1594.5511,23.9,-31.7,55.6,15.85,-23.0833,15.85,-23.0833,516,134,4,103.7881,332,14,332,14,-52,4874,534,816
No,2688.263 ,6,38,262.875 ,89.977 ,541,-3.0292,14.0083,24.9703,1611.4314,24.3,-31.8,56.1,16.1167,-23.2167,16.1167,-23.2167,516,130,5,98.8714,322,17,322,17,-29,4864,515,816
No,3628.756 ,6,42,358.459 ,89.998 ,677,-2.7042,13.6417,24.5354,1603.5507,24.4,-31.2,55.6,16.3333,-22.8,16.3333,-22.8,509,131,4,102.2789,324,14,324,14,-14,5287,747,816
No,569.629 ,6,52,34.647 ,89.994 ,874,-5.575,15.7833,26.7061,1658.7626,23.1,-36,59.1,14.1167,-26.55,14.1167,-26.55,483,127,3,107.1371,323,12,323,12,-66,4548,361,817
No,467.659 ,6,41,8.686 ,89.994 ,510,-3.2292,14.1083,25.0148,1623.5574,24.4,-32,56.4,16.0833,-23.5333,16.0833,-23.5333,501,125,4,100.2758,317,15,317,15,-30,4869,540,817
No,1477.715 ,6,42,74.095 ,89.995 ,667,-3.7042,13.8583,24.7029,1619.4998,23.9,-32.2,56.1,15.6333,-23.8833,15.6333,-23.8833,511,129,4,101.1287,324,14,324,14,-34,4873,539,817
No,1675.984 ,6,42,208.013 ,89.996 ,619,-3.6167,13.95,24.734,1627.0083,24.1,-32.3,56.4,15.7667,-23.9167,15.7667,-23.9167,507,128,4,101.1406,322,14,322,14,-35,4873,539,817
No,3794.485 ,6,38,10.452 ,89.991 ,547,-2.7708,14.2917,25.3848,1582.7644,24.1,-32.2,56.3,15.8833,-22.85,15.8833,-22.85,522,134,5,101.7346,332,17,332,17,-33,4872,528,817
No,1293.359 ,3,41,124.895 ,89.994 ,560,-2.8875,14.6417,25.5081,1648.3326,25,-32.4,57.4,16.5333,-23.7167,16.5333,-23.7167,495,124,5,100.2049,312,17,312,17,-29,4863,512,817
No,4438.516 ,21,31,206.428 ,89.990 ,467,-1.3875,14.6917,25.9112,1587.6013,25,-31.7,56.7,17.0833,-21.8167,17.0833,-21.8167,522,144,4,107.7395,343,15,343,15,-15,5278,741,817
No,2883.175 ,21,31,150.850 ,89.996 ,592,-1.9625,14.175,25.6793,1552.9915,24.2,-31,55.2,16.2833,-21.6667,16.2833,-21.6667,528,142,4,105.3027,342,15,342,15,-20,5161,719,817
No,2373.916 ,3,42,131.594 ,89.984 ,647,-3.625,13.6167,24.6233,1594.2546,23.7,-31.6,55.3,15.5,-23.3833,15.5,-23.3833,510,131,4,103.4994,328,14,328,14,-34,4872,533,818
No,4105.563 ,7,41,181.051 ,89.992 ,532,-1.7833,14.6667,26.1905,1566.4353,24.5,-31.5,56,16.5333,-18.1167,16.5333,-21.8,524,147,3,110.2271,349,12,349,12,-29,4871,527,818
No,590.799 ,6,11,287.928 ,89.974 ,403,-2.95,14.0667,25.0743,1610.0211,24.4,-31.7,56.1,16.1833,-23.1,16.1833,-23.1,508,128,4,100.2589,320,15,320,15,-29,4862,510,818
No,3645.718 ,6,41,104.165 ,89.994 ,725,-1.375,14.3667,25.338,1601.1948,25.1,-31.6,56.7,17.2333,-21.9667,17.2333,-21.9667,517,142,4,107.2896,339,15,339,15,-29,4866,512,818
No,3322.235 ,6,32,116.184 ,89.991 ,792,-2.75,14.4,25.9928,1546.3197,23.6,-31.8,55.4,15.5167,-22.3167,15.5167,-22.3167,532,142,4,105.8127,347,14,347,14,-30,4869,524,819
No,644.507 ,21,16,31.185 ,89.990 ,456,-1.375,14.7,26.1566,1568.9523,24.9,-31.3,56.2,16.9333,-17.7333,16.9333,-21.5,520,147,3,110.7597,348,13,348,13,-14,5288,739,819
No,43.524 ,10,31,268.929 ,89.991 ,495,-3.2625,13.775,24.5107,1628.6807,24.3,-31.9,56.2,16.0833,-23.6333,16.0833,-23.6333,509,129,4,100.5047,321,16,321,16,-15,5262,735,819
No,711.697 ,21,31,116.996 ,89.984 ,645,-2.1375,14.175,25.6793,1552.3416,24.1,-31.1,55.2,16.1333,-21.8,16.1333,-21.8,539,143,5,104.0803,347,17,347,17,-20,5154,715,819
No,1204.965 ,6,31,178.229 ,89.990 ,531,-2.0875,14.5083,25.6785,1586.2335,24.5,-32,56.5,16.5,-22.3333,16.5,-22.3333,523,138,4,104.3433,337,16,337,16,-23,5113,729,819
No,1303.013 ,7,14,53.130 ,89.963 ,420,-3.3833,14.25,25.9091,1535.3566,23,-32,55,14.85,-22.7167,14.85,-22.7167,544,145,3,106.1105,355,12,355,12,-30,4868,520,820
No,2333.590 ,6,31,279.162 ,89.971 ,458,-2.7625,13.8417,24.8059,1611.5269,24.6,-31.2,55.8,16.4167,-22.9167,16.4167,-22.9167,513,129,5,97.8674,317,17,317,17,-23,5126,729,820
No,919.052 ,6,12,339.102 ,89.969 ,433,-1.8333,14.05,25.0893,1583.1676,24.7,-31.3,56,16.75,-22,16.75,-22,512,135,4,104.3674,330,14,330,14,-24,5088,723,820
No,5645.970 ,6,31,279.660 ,89.981 ,565,-2.3083,13.9,24.515,1641.6522,25.4,-31.3,56.7,17.1,-22.95,17.1,-22.95,502,125,5,97.0377,308,19,308,19,-25,5067,715,820
No,4200.180 ,6,31,108.435 ,89.989 ,651,-4.6292,15.8083,26.3034,1708.4569,24.2,-35.9,60.1,15.4333,-26.3833,15.4333,-26.3833,484,123,4,102.5788,313,15,313,15,-66,4613,386,821
No,4201.799 ,6,21,344.982 ,89.956 ,463,-2.9667,14.3333,25.2347,1634.605,24.7,-32.1,56.8,16.3667,-23.5333,16.3667,-23.5333,503,127,5,99.5118,315,17,315,17,-29,4866,513,821
No,4151.787 ,6,31,19.423 ,89.990 ,456,-2.6708,13.9583,24.7488,1622.5533,24.7,-31.7,56.4,16.5167,-23.1167,16.5167,-23.1167,504,128,4,100.2578,317,15,317,15,-29,4846,483,821
No,78.908 ,5,25,146.768 ,89.947 ,332,-2.2167,14.0833,24.4928,1658.4211,25.3,-32.2,57.5,17.1833,-23.35,17.1833,-23.35,497,124,5,97.6118,307,19,307,19,-29,4860,500,821
No,1217.672 ,6,42,246.224 ,89.994 ,855,-5.3667,15.4667,26.484,1645.0205,22.9,-35.5,58.4,14.2,-26.1333,14.2,-26.1333,493,127,4,104.1435,324,15,324,15,-67,4542,344,822
No,1784.398 ,7,20,17.103 ,89.932 ,395,-3.0875,13.5583,24.5622,1590.4318,23.8,-31.4,55.2,15.85,-22.9667,15.85,-22.9667,520,134,4,102.4148,332,15,332,15,-30,4867,517,822
No,3778.499 ,3,41,78.799 ,89.991 ,550,-2.8542,14.6417,25.4638,1656.6182,25.1,-32.4,57.5,16.65,-23.8,16.65,-23.8,491,123,5,99.8391,308,17,308,17,-30,4867,517,822
No,5018.248 ,6,41,167.606 ,89.996 ,532,-2.1542,13.4917,24.3532,1594.5895,24.6,-30.8,55.4,16.7167,-22.2,16.7167,-22.2,521,131,5,98.2607,323,19,323,19,-28,4917,567,822
No,1751.134 ,17,31,194.207 ,89.989 ,282,-1.3083,13.3333,23.3508,1661.6487,25.9,-31.2,57.1,18.05,-22.6,18.05,-22.6,493,123,4,98.6247,306,16,306,16,-12,4850,43,823
No,456.228 ,3,42,8.081 ,89.994 ,700,-4.275,14.7,25.6098,1646.3672,23.7,-33.7,57.4,15.3167,-24.9333,15.3167,-24.9333,491,124,4,102.3318,316,15,316,15,-58,4634,387,824
No,1064.510 ,6,42,342.991 ,89.997 ,554,-1.5875,14.375,25.5783,1579.2606,24.7,-31.5,56.2,16.8167,-21.8333,16.8167,-21.8333,522,144,4,108.3132,344,14,344,14,-30,4866,512,824
No,3.445 ,1,41,124.720 ,89.994 ,349,-2.1083,13.8333,24.269,1645.8817,25.3,-31.7,57,17.2167,-22.9833,17.2167,-22.9833,498,125,5,98.2028,308,17,308,17,-29,4869,507,824
No,1482.261 ,6,31,52.722 ,89.978 ,391,-2.3,14.4,25.5319,1585.015,24.5,-31.9,56.4,16.3333,-22.4833,16.3333,-22.4833,524,137,4,102.8803,335,16,335,16,-29,4881,522,824
No,918.044 ,3,11,355.030 ,89.960 ,422,-2.0375,13.9083,24.4006,1646.6772,25.3,-31.7,57,17.2667,-22.9667,17.2667,-22.9667,502,126,5,97.547,310,19,310,19,-26,5022,668,824
No,4647.342 ,5,31,21.371 ,89.981 ,627,-3.0333,13.75,24.8644,1596.8184,24.1,-31.2,55.3,16,-22.9333,16,-22.9333,515,131,5,99.6825,323,17,323,17,-29,4867,508,825
No,3752.315 ,3,24,136.110 ,89.995 ,190,-0.7,13.7167,23.8137,1651.052,26.2,-31.4,57.6,18.3667,-22.1167,18.3667,-22.1167,502,123,4,99.7222,315,17,315,17,-11,4952,91,825
No,467.592 ,6,42,207.749 ,89.993 ,817,-4.5167,15.7,26.0365,1727.4645,24.6,-35.7,60.3,15.8,-26.4,15.8,-26.4,455,114,4,101.0014,291,15,291,15,-68,4584,356,826
No,3511.322 ,6,31,38.089 ,89.993 ,521,-3.6917,13.75,24.9094,1587.1198,23.6,-31.6,55.2,15.3667,-23.35,15.3667,-23.35,536,134,6,97.8201,333,20,333,20,-30,4854,507,826
No,4966.004 ,6,31,192.426 ,89.969 ,402,-2.4125,14.2583,24.8837,1645.965,25.2,-32.1,57.3,16.95,-23.2667,16.95,-23.2667,501,125,5,97.6113,310,19,310,19,-29,4869,506,826
No,933.604 ,5,12,6.563 ,89.984 ,396,-2.15,14.0167,24.6772,1634.7505,25.1,-31.7,56.8,17.0167,-22.9167,17.0167,-22.9167,507,127,5,97.5548,312,19,312,19,-29,4891,530,826
No,1132.757 ,21,14,301.866 ,89.989 ,424,-1.325,14.7667,25.8159,1600.549,25.2,-32,57.2,17.25,-18.0667,17.25,-22,510,144,3,111.102,341,12,341,12,-14,5282,712,827
No,1781.087 ,3,41,337.036 ,89.971 ,589,-3.2042,13.575,24.4595,1609.7875,24.2,-31.3,55.5,16.0167,-23.2333,16.0167,-23.2333,516,130,5,99.0042,322,17,322,17,-30,4866,508,827
No,227.390 ,3,42,358.677 ,89.997 ,695,-4.8083,15.2167,25.8787,1669.4567,23.5,-35.3,58.8,14.95,-25.9333,14.95,-25.9333,477,123,3,105.1193,314,12,314,12,-59,4554,334,828
No,2183.990 ,5,31,232.712 ,89.987 ,649,-4.5792,15.5083,26.0207,1699.1528,24.1,-35.5,59.6,15.4167,-26.15,15.4167,-26.15,483,124,4,102.9875,313,15,313,15,-59,4594,356,828
No,624.155 ,21,31,195.086 ,89.984 ,405,-1.0667,14.6167,26.0547,1569.5271,25.1,-31,56.1,17.2167,-21.2333,17.2167,-21.2333,512,146,3,110.8494,343,13,343,13,-14,5283,711,828
No,2546.679 ,10,21,32.521 ,89.990 ,335,-2.6542,14.2083,25.0588,1601.7753,24.3,-32.4,56.7,16.1333,-23.0833,16.1333,-23.0833,520,135,5,102.3245,332,16,332,16,-15,5269,708,828
No,2907.890 ,5,29,33.996 ,89.988 ,372,-1.8583,14.05,24.9556,1591.4856,24.9,-31.4,56.3,16.8167,-22.15,16.8167,-22.15,505,129,4,101.7214,319,14,319,14,-29,4887,522,828
No,10574.520 ,21,31,171.951 ,89.991 ,411,-1.5333,14.5,25.4386,1606.5708,25.1,-31.9,57,17.1333,-18.2333,17.1333,-22.2167,512,139,4,107.4866,336,15,336,15,-29,4870,505,829
No,6168.864 ,21,42,268.831 ,89.987 ,790,-3.675,14.4667,25.1594,1652.4865,24.3,-33.2,57.5,15.8833,-24.4667,15.8833,-24.4667,515,129,5,98.8277,322,18,322,18,-31,4833,485,830
No,1445.171 ,10,29,90.895 ,89.986 ,372,-1.3042,14.5083,25.2758,1618.8386,25.4,-32,57.4,17.45,-18.1167,17.45,-22.2333,504,138,4,108.3014,332,14,332,14,-16,5240,698,830
No,3862.920 ,6,31,58.314 ,89.990 ,464,-3.0125,14.325,25.2646,1636.7542,24.8,-31.9,56.7,16.3833,-23.5333,16.3833,-23.5333,491,124,5,100.0772,311,17,311,17,-30,4845,491,831
No,5721.445 ,6,31,239.837 ,89.992 ,471,-2.775,14.0167,24.6772,1642.323,25,-31.8,56.8,16.6667,-23.4167,16.6667,-23.4167,495,124,5,98.5031,308,16,308,16,-30,4861,499,831
No,6287.898 ,7,21,11.310 ,89.960 ,396,-2.3792,14.0417,24.8086,1632.5753,25.1,-31.5,56.6,16.9,-22.9333,16.9,-22.9333,503,126,5,97.3303,310,19,310,19,-29,4872,502,831
No,927.417 ,16,31,17.103 ,89.966 ,277,-1.2417,13.2167,23.1061,1665.5354,26,-31.2,57.2,18.15,-22.6167,18.15,-22.6167,496,123,5,97.7618,307,18,307,18,-12,4841,15,831
No,889.006 ,6,31,24.790 ,89.993 ,288,-2.0042,13.6917,23.6471,1678.4983,25.6,-32.3,57.9,17.6,-23.4167,17.6,-23.4167,500,125,5,96.9002,305,18,305,18,-10,4920,361,832
No,135.559 ,4,26,167.856 ,89.992 ,555,-4.6167,15.9833,26.074,1737.6726,24.5,-36.8,61.3,15.65,-26.95,15.65,-26.95,461,118,3,104.0504,301,13,301,13,-58,4538,310,833
No,785.602 ,5,16,235.305 ,89.985 ,548,-4.6583,15.7833,26.0022,1723.8196,24.3,-36.4,60.7,15.5167,-26.75,15.5167,-26.75,463,119,3,104.0649,302,12,302,12,-57,4540,313,833
No,1990.511 ,7,31,20.854 ,89.979 ,378,-3.1208,15.0583,25.6094,1696.3698,25.3,-33.5,58.8,16.7167,-20.3,16.7167,-24.6833,479,118,5,98.8669,301,19,301,19,-32,4823,474,833
No,2585.526 ,6,31,173.118 ,89.984 ,430,-2.8417,14.5833,25.2744,1659.7205,25.3,-32.4,57.7,16.75,-23.7833,16.75,-23.7833,485,121,5,98.5645,303,17,303,17,-30,4849,489,833
No,1153.285 ,6,31,236.310 ,89.936 ,463,-2.7125,13.8417,24.5856,1629.5093,24.9,-31.4,56.3,16.6,-23.15,16.6,-23.15,498,126,5,98.6987,309,17,309,17,-30,4864,498,833
No,2496.417 ,6,31,142.595 ,89.978 ,469,-2.4125,13.775,24.5982,1619.9637,25,-31,56,16.8167,-22.7,16.8167,-22.7,504,126,6,96.6929,310,20,310,20,-30,4870,500,833
No,217.919 ,6,31,51.189 ,89.984 ,451,-2.175,13.9833,24.3612,1664.4989,25.8,-31.6,57.4,17.4167,-23.2167,17.4167,-23.2167,495,123,5,96.159,302,19,302,19,-25,5071,682,833
No,6143.076 ,6,31,324.696 ,89.994 ,609,-2.6708,14.4917,25.9243,1563.9932,24,-31.9,55.9,15.7833,-22.4833,15.7833,-22.4833,537,142,4,104.2041,347,16,347,16,-16,5242,684,834
